,Church,Lettice,The Co-op,Spelling Practice,The Homeschooling Newsletter,Seeking Inspiration,Sunday Afternoon,The House of Mildew,Arabic Loan Words,The Legend of Public School,J E R O M E,That Question,Dinner Service,Advent,Ironing,Previously Missed Words,Greek Root Studies,Handwashing,Lettice's Aquarium,Consultation,Lent,French Art Words,Middle School English,At the Copy Shop,The Family with All the Stuff,Year-end Competition,Performance Practice,Afrikaans Loan Words,Invitation to the Salon,Lessons from Sara,Co-op Dues,Snow Shoveling,Mirrors,Clipping Coupons,Mrs. Perry Gossips,Reflections,Ash Wednesday,Exercises in Reading Between the Lines,Mother and the Haircut,Moodiness,Pentecost,Return to the House of Mildew,German Loan Words,Latin Root Studies,Choosing the Year's Curriculum,Halloween,Hawaiian Loan Words,Mrs. Barron Commands,Mr. Barron Intervenes,Birthday Candles,Heard Rather Than Seen,Overheard,Crisis,Jam,Mother's Temporary Work,Epilogue,Church Jumble Sale,Daydream of Winning,Easter,Proofreading,It's All Happening At the Zoo,Contributions to Father's Newsletter,The Doll,Lessons for Lettice,Bowing Out of the Newsletter,Additional Performance Practice,At the Bookstore,Dinner for Tyler Barron,Lawn Mowing,A Confrontation About Practice,Worldly Cinema,Classes at the Co-op,Was It This Way For the Desert Fathers?,Isolation,Italian Loan Words,Sibling Rivalry,Minding Lettice,Lettice Revolts,Aboriginal Loan Words,Snow Day,A Call to Arms,The State Fair,That Other Question,Orange and Purple Christmas,Zulu Loan Words,Discipline,Running Away
037,1.0,1.0,1.0,1.0,1.0,,6.0,1.0,7.0,1.0,2.0,7.0,1.0,,,2.0,1.0,,1.0,1.0,5.0,3.0,1.0,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,,1.0,3.0,,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,3.0,1.0,,,9.0,9.0,,,,,1.0,1.0,,,,,,,
051,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,5.0,,1.0,,1.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,21.0,16.0,,,,,,,,,,,,,
046,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,1.0,,,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,2.0,1.0,,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,,,4.0,2.0,1.0,2.0,1.0,,,,,,,
033,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,
080,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,3.0,,3.0,1.0,2.0,1.0,1.0,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,2.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,2.0,,,2.0,,2.0,3.0,1.0,,,1.0,1.0,,,,,
099,1.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,6.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,4.0,7.0,,,,,1.0,,,,,,,11.0,1.0
068,1.0,1.0,1.0,2.0,1.0,,6.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,3.0,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,4.0,,1.0,1.0,,,,1.0,,,,
038,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,
009,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,4.0,,1.0,1.0,1.0,,1.0,,3.0,1.0,,2.0,,,2.0,2.0,,2.0,2.0,,2.0,,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,2.0,1.0,3.0,2.0,1.0,,1.0,,1.0,,,,1.0,,25.0,24.0,,,,,,1.0,,,,,,,
070,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,3.0,,,4.0,,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,,2.0,2.0,,,2.0,,,1.0,,1.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,3.0,,1.0,1.0,6.0,14.0,,,,,,1.0,,,1.0,,,,
067,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,4.0,,2.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,,5.0,2.0,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,7.0,1.0,,6.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,2.0,2.0,,4.0,,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,4.0,10.0,1.0,,,,1.0,,,,,,,,
026,1.0,1.0,1.0,1.0,1.0,,7.0,1.0,3.0,3.0,1.0,,1.0,4.0,,2.0,4.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,,3.0,,1.0,,,,2.0,,,3.0,,,5.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,,1.0,1.0,,,,2.0,,1.0,,1.0,3.0,,5.0,,1.0,,,,1.0,,1.0,,,,25.0,29.0,1.0,,,,1.0,,,1.0,,,,,
090,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,,1.0,3.0,1.0,2.0,4.0,2.0,,1.0,3.0,3.0,1.0,1.0,1.0,4.0,,2.0,,1.0,,3.0,,3.0,1.0,,1.0,1.0,,3.0,,,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,16.0,12.0,,,,,1.0,2.0,,,1.0,,,,
023,1.0,1.0,1.0,2.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,1.0,1.0,,,,1.0,3.0,1.0
043,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,4.0,,1.0,3.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,,,,3.0,5.0,2.0,,,,,1.0,,,,1.0,1.0,,
069,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,4.0,,1.0,1.0,1.0,2.0,,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,3.0,,2.0,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,,5.0,2.0,,,,,2.0,1.0,,1.0,1.0,,,,
078,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,3.0,1.0,2.0,1.0,,1.0,,3.0,,1.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,5.0,11.0,,2.0,1.0,1.0,,1.0,,1.0,,,,,
006,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,8.0,1.0,2.0,,1.0,2.0,3.0,2.0,,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,3.0,,,3.0,1.0,,3.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,3.0,,40.0,45.0,,,,,,,,,,,,,
075,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,3.0,2.0,2.0,4.0,,1.0,1.0,,,,,3.0,,1.0,,,1.0,,3.0,,,1.0,,,,,1.0,,3.0,,32.0,27.0,,,,,,,,,,,,,
044,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,3.0,,,1.0,2.0,,1.0,,1.0,1.0,,3.0,,,1.0,,,3.0,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,
